Label,MFCC_0,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,MFCC_14,MFCC_15,MFCC_16,MFCC_17,MFCC_18,MFCC_19,MFCC_20,MFCC_21,MFCC_22,MFCC_23,MFCC_24,MFCC_25,MFCC_26,MFCC_27,MFCC_28,MFCC_29,MFCC_30,MFCC_31,MFCC_32,MFCC_33,MFCC_34,MFCC_35,MFCC_36,MFCC_37,MFCC_38,MFCC_39
Minjung_1,-432.68466,122.59089,38.184444,23.687742,4.735591,3.3263571,2.0960941,-4.4096923,-8.047491,7.563915,-11.167859,-1.8018279,-4.398794,1.2533101,5.286792,-4.3976197,-4.713314,-2.2749481,-12.539225,3.6627421,-9.007543,-2.0204465,-10.037962,-2.7850451,-8.0258,-0.8808114,-7.0803766,-0.3752851,-4.552873,0.71445906,-1.1486307,1.8377526,-0.5745507,6.5394883,-2.9071176,5.9178786,-0.5250042,4.2275066,2.767764,4.7384434
Minjung_2,-424.90396,117.335526,26.108938,20.357098,4.0326304,4.272286,4.924725,1.3631147,0.27736652,1.3615085,-10.592821,0.5113491,-9.111565,-4.8040113,5.315394,-5.5480566,-2.7115936,-4.043583,-12.648121,1.2808397,-4.839038,-6.4461384,-8.376321,-2.2817333,-5.5115123,-2.5010796,-3.8293915,0.089366324,-1.7167625,-0.67529124,-0.048438884,2.1106062,0.7438185,4.9617615,0.7073598,3.6036515,0.4920451,1.9133536,0.6240464,1.9041789
Haesol_1,-435.96353,121.073906,33.725567,36.80506,7.0202622,16.818224,8.19542,-2.178775,-1.0426042,1.3105911,-15.691687,4.9370136,-9.873342,-0.84427917,1.6965967,0.2955691,-4.198475,4.346602,-2.0479326,1.7879524,-9.303301,2.791368,-6.7060494,-2.202451,-3.604816,-3.178974,-5.4846945,0.7313293,-3.590036,-2.5309165,0.9415267,0.8487015,-3.1695602,2.9044013,-5.085953,3.9770591,-3.1632898,0.8863996,-1.3659983,-2.1540537
Haesol_2,-437.49762,133.01004,28.340708,35.30423,4.3214717,8.266116,13.241771,1.5379894,0.35716337,1.1211078,-9.136037,2.8196328,-13.538935,0.33747372,5.1476593,-2.7808444,-4.366531,5.4681716,-2.0968015,0.88463,-10.360397,5.1072087,-6.3851666,-5.4579263,-6.038376,-0.30042356,-3.4782019,-0.5944578,-3.2254064,-0.8081925,-0.6556889,2.3256967,-3.2078815,3.0666273,-3.4881048,1.4495943,-1.8659573,-0.6619083,-2.7836752,-1.0806271
Chaeun_1,-444.2884,103.79648,35.612152,28.914833,-1.5582129,8.464543,24.392479,8.209227,-14.459743,-3.7875476,6.311288,6.2984047,-9.598431,1.7171061,-1.6420382,-3.6942163,-9.205762,3.668926,-5.655007,-5.929422,-8.17758,3.276495,-8.213467,-0.77242225,-8.6318245,0.20538898,-2.511487,-0.9023065,-1.5989574,1.3246713,-2.2355354,3.192027,-2.6522262,1.4832981,-2.6323087,3.2757018,-3.4502273,0.6460706,-2.0979989,0.6896948
Chaeun_2,-425.3395,131.81036,30.93427,16.028448,-3.4961326,11.163955,18.283104,0.72090113,-7.409252,-2.609337,3.2100596,-0.5778522,-8.619392,3.707508,-2.2202406,-9.149302,-8.107741,3.0159361,-3.9942129,-5.10932,-9.272335,-0.54324144,-4.769662,-1.6072778,-8.281381,-0.43715826,-2.8497522,-1.0783521,0.22209947,-1.2290194,-1.5130078,1.6899389,-1.8103774,0.38490042,-1.9387844,3.2648811,-4.147946,-1.0259926,0.43221235,-0.696273
Sinjae_1,-425.27136,123.742775,35.563583,14.526207,2.2464414,24.52387,8.761938,-1.185954,-13.409349,-6.4154997,-11.622608,1.5548209,-3.8274179,-5.169862,6.4504633,-5.987725,1.1121594,5.7334385,-14.359651,3.5670676,-9.780857,-1.6466076,-9.020534,-5.9637866,-6.7947564,1.8221209,-7.2452273,-3.3753939,0.2673732,2.0886202,-1.2769548,-0.28541225,-3.2252493,3.160749,-5.316416,-0.12278588,-4.170093,-1.1395948,-2.5174606,-3.0763547
Sinjae_2,-469.57733,124.19886,40.13135,23.414,1.5309421,12.441336,1.5404273,2.0782645,-8.29309,-3.1938555,-5.5637827,3.1291528,0.808548,-5.2077546,3.4864373,-2.5578613,-1.5433246,6.731973,-16.147554,2.9863586,-8.265895,-3.5460994,-6.753792,-5.040898,-4.9026117,1.4474906,-6.0697007,-2.132011,0.09204109,0.7133513,-1.0866083,-0.5156444,-2.3177288,1.4133654,-2.8534877,2.2731478,-3.0408456,-1.3887769,-1.6593957,-1.7602651
Sunwoo_1,-460.8951,118.497925,38.487312,20.84424,19.008207,25.297823,10.84287,-0.19706117,-10.745811,1.6667241,-11.550786,-3.1887412,0.89795893,-1.6542557,-1.1681463,-0.30743963,-2.4774752,2.2323775,-2.3674788,-3.9472904,-6.7401814,-0.9431948,-5.703451,-3.6264608,-6.5252476,-1.7205725,-6.1585608,-2.507218,-3.3106875,0.871104,-3.0177512,-2.0732546,-2.34983,1.2942582,-2.585681,0.6236404,-1.2339988,1.003027,-0.7597088,0.23162732
Sunwoo_2,-469.57733,124.19886,40.13135,23.414,1.5309421,12.441336,1.5404273,2.0782645,-8.29309,-3.1938555,-5.5637827,3.1291528,0.808548,-5.2077546,3.4864373,-2.5578613,-1.5433246,6.731973,-16.147554,2.9863586,-8.265895,-3.5460994,-6.753792,-5.040898,-4.9026117,1.4474906,-6.0697007,-2.132011,0.09204109,0.7133513,-1.0866083,-0.5156444,-2.3177288,1.4133654,-2.8534877,2.2731478,-3.0408456,-1.3887769,-1.6593957,-1.7602651
