,No,개설학과,학년,과목번호,분반,과목명,"제한
인원","수강
인원","개설
이수구분",학점/시수,수업방식,강의시간,담당교수,교원구분,수강안내,수강제한참고사항,"영어
강의",교양영역,"교육과정
이수구분","교육과정
적용년도",수업유형,성적평가방식,영문과목명,절대상대평가,교직영역,"전자
출결","국어관련
교과목","영어관련
교과목","인문학관련
교과목","소프트웨어관련
교과목",전문가,Unnamed: 31,혁신가,Unnamed: 33,세계시민,Unnamed: 35,인증제,Unnamed: 37,Unnamed: 38
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,전공지식탐구역량,융복합지식활용역량,창의적문제해결역량,미래 ICT역량,윤리지향성역량,지속가능성역량,이수구분,설계학점,이론/실습/설계
1,1.0,대학 학과공통,1.0,1000-9083,0.0,사회봉사(1),154.0,97.0,일반선택,1/0/2,,,류진석,전임교수,,,,,일반선택,2025.0,실습,PASS/FAIL,Community Service(1),절대평가,,,,,,,0,0,0,0,0,0,,0,0/2/0
2,2.0,대학 학과공통,1.0,1000-9232,0.0,교육봉사 2,500.0,191.0,교직,1/0/2,,,박환보,전임교수,"교직과정생(학부), 교육대학원생만 수강 가능",,,,교직,2025.0,실습,PASS/FAIL,Educational Service 2,절대평가,교육실습,,,,,,0,0,0,0,0,0,,,
3,3.0,대학 학과공통,1.0,1000-9236,0.0,교육봉사 1,500.0,160.0,교직,1/0/2,,,박환보,전임교수,"교직과정생(학부), 교육대학원생만 수강 가능",,,,교직,2025.0,실습,PASS/FAIL,Educational Service 1,절대평가,교육실습,,,,,,0,0,0,0,0,0,,,
4,4.0,대학 학과공통,1.0,1000-9581,0.0,성인지교육1,500.0,284.0,교직,0/0/0,,,박환보,전임교수,"교직과정생(학부), 교육대학원생만 수강 가능",,,,교직,2025.0,가상강의,PASS/FAIL,Gender Sensitivity Education for Pre-service Teachers 1,절대평가,,,,,,,0,0,0,0,0,0,,,
5,5.0,대학 학과공통,1.0,1000-9582,0.0,성인지교육2,500.0,313.0,교직,0/0/0,,,박환보,전임교수,"교직과정생(학부), 교육대학원생만 수강 가능",,,,교직,2025.0,가상강의,PASS/FAIL,Gender Sensitivity Education for Pre-service Teachers 2,절대평가,,,,,,,0,0,0,0,0,0,,,
6,6.0,대학 학과공통,1.0,1000-9583,0.0,성인지교육3,500.0,146.0,교직,0/0/0,,,박환보,전임교수,"교직과정생(학부), 교육대학원생만 수강 가능",,,,교직,2025.0,가상강의,PASS/FAIL,Gender Sensitivity Education for Pre-service Teachers 3,절대평가,,,,,,,0,0,0,0,0,0,,,
7,7.0,대학 학과공통,1.0,1000-9584,0.0,성인지교육4,500.0,74.0,교직,0/0/0,,,박환보,전임교수,"교직과정생(학부), 교육대학원생만 수강 가능",,,,교직,2025.0,가상강의,PASS/FAIL,Gender Sensitivity Education for Pre-service Teachers 4,절대평가,,,,,,,0,0,0,0,0,0,,,
8,8.0,대학 학과공통,1.0,1001-7001,0.0,현대사회와 직업의 세계,180.0,137.0,교양(소양),2/2/0,,목14:00~16:00(교111),이승환,전임교수,,,,소양교양(ESG),교양(소양),2025.0,이론,GRADE,Various Occupations in the Modern Society,절대평가,,,,,,,,,,,,,,,2/0/0
9,9.0,대학 학과공통,1.0,1001-7001,1.0,현대사회와 직업의 세계,180.0,134.0,교양(소양),2/2/0,,목16:00~18:00(교111),이승환,전임교수,,,,소양교양(ESG),교양(소양),2025.0,이론,GRADE,Various Occupations in the Modern Society,절대평가,,,,,,,,,,,,,,,2/0/0
10,10.0,대학 학과공통,1.0,1001-7002,0.0,직업과 진로,180.0,142.0,교양(소양),2/2/0,,화14:00~16:00(교111),이승환,전임교수,,,,소양교양(융합과확장),교양(소양),2025.0,이론,GRADE,Occupational Guidance,절대평가,,,,,,,,,,,,,,,0/0/0
